district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
三峽區,房地(土地+建物),新北市三峽區大同路39巷31~60號,21.55,住,,,1080530,土地1建物1車位0,九層，十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080429,101.78,2,2,1,有,有,8900000,87444,,0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPVNMLTKPHOFFIF57CA
三峽區,房地(土地+建物)+車位,新北市三峽區民生街19巷7弄1~30號,25,住,,,1080512,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1020430,168.83,3,2,2,有,有,10900000,64562,升降平面,37.21,0,,RPSOMLSKOHOFFIF17CA
樹林區,房地(土地+建物),新北市樹林區大安路1~30號,42.9,住,,,1080501,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700611,88.4,2,2,1,有,無,6800000,76923,,0,0,,RPXQMLTKOHOFFIF97CA
三峽區,房地(土地+建物)+車位,新北市三峽區民權街170巷1~30號,15.32,住,,,1080309,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080315,95.77,1,2,1,有,有,5100000,62289,一樓平面,30.59,1040000,,RPROMLLLOHOFFIF09CA
三峽區,房地(土地+建物)+車位,新北市三峽區民權街170巷1~30號,27.74,住,,,1080428,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080315,150.04,3,2,1,有,有,8400000,60276,升降平面,30.59,1200000,,RPSOMLLLOHOFFIF56CA
樹林區,房地(土地+建物)+車位,新北市樹林區保安街一段1~30號,10.72,商,,,1080501,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881210,128.31,3,2,2,有,有,10750000,83781,坡道平面,19.03,0,,RPVNMLQLOHOFFIF27CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳五路1~30號,22.69,住,,,1080419,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061011,132.63,3,2,1,有,有,8600000,66863,坡道平面,27.19,1550000,,RPXOMLSLOHOFFIF77CA
樹林區,房地(土地+建物),新北市樹林區千歲街61巷50弄1~30號,41.72,住,,,1080124,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691104,84.76,3,2,2,有,無,8100000,95564,,0,0,增建或占用範圍:壹樓空地,RPSNMLSKOHOFFIF07CA
樹林區,房地(土地+建物)+車位,新北市樹林區保安街二段325巷1~30號,17.95,住,,,1080419,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,871230,129.75,3,2,2,有,有,7880000,60732,坡道平面,0,0,含增建或未登記建物。;,RPQQMLNKOHOFFIF66CA
鶯歌區,車位,新北市鶯歌區鶯桃路二段1~30號,0.4,住,,,1080521,土地0建物0車位1,地下層,七層,其他,見其他登記事項,鋼筋混凝土造,800212,35.7,0,0,0,有,有,1000000,,坡道平面,0,1000000,單獨車位交易。;,RPXNMLOKOHOFFIF17CA
三峽區,房地(土地+建物),新北市三峽區民生街27巷1~30號,3.71,住,,,1080521,土地2建物1車位0,四層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,850401,28.31,1,0,1,有,無,2300000,81243,,0,0,,RPRNMLNKOHOFFIF09CA
樹林區,房地(土地+建物),新北市樹林區俊英街181~210號,7.08,住,,,1080513,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840211,78.82,3,1,1,有,有,6200000,78660,,0,0,,RPWNMLNKOHOFFIF96CA
樹林區,房地(土地+建物),新北市樹林區保安街二段107巷1~30號,14.56,住,,,1071220,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071008,71.81,2,2,1,有,有,5800000,80769,,0,0,,RPQOMLNKOHOFFIF09CA
三峽區,房地(土地+建物)+車位,新北市三峽區大德路451~480號,37.49,住,,,1080508,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971126,294.64,4,2,3,有,有,20800000,74836,坡道平面,51.44,2600000,,RPOPMLNKOHOFFIF98CA
中和區,房地(土地+建物)+車位,新北市中和區中山路二段211~240號,11.86,住,,,1080524,土地3建物1車位1,十三層,十九層,辦公商業大樓,見其他登記事項,見其他登記事項,871120,189.02,3,2,2,有,有,13800000,73008,坡道平面,88.05,0,,RPTQMLLKPHOFFHF76CA
中和區,房地(土地+建物),新北市中和區華順街31~60號,18.83,住,,,1080521,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,650429,62.54,2,1,1,有,無,2546647,40720,,0,0,親友、員工或其他特殊關係間之交易。;,RPXPMLQLOHOFFHF57CA
中和區,房地(土地+建物)+車位,新北市中和區中原街121~150號,49,住,,,1080506,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1051102,250.34,3,2,2,有,無,32200000,139275,坡道平面,34.58,2150000,,RPVQMLQLOHOFFHF47CA
中和區,房地(土地+建物)+車位,新北市中和區圓通路198巷1~30號,30.19,住,,,1080421,土地2建物1車位1,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,900305,139.43,3,2,2,有,有,16800000,120491,坡道機械,21.71,0,,RPUTMLRKOHOFFHF67CA
永和區,房地(土地+建物),新北市永和區中正路286巷1~30號,29.37,住,,,1080504,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,631014,67.8,2,2,1,有,無,8200000,120944,,0,0,含增建或未登記建物。;,RPSUMLRKOHOFFHF57CA
中和區,房地(土地+建物),新北市中和區橋和路61~90號,75.6,工,,,1080329,土地1建物1車位0,一層，騎樓，地下一層,十層,廠辦,見其他登記事項,鋼筋混凝土造,840224,619.42,0,0,0,無,有,54500000,87986,,0,0,,RPTUMLRKOHOFFHF67CA
永和區,房地(土地+建物)+車位,新北市永和區保生路22巷1~30號,10.26,商,,,1080417,土地3建物1車位1,十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890105,173.66,3,2,2,有,有,23800000,137049,坡道平面,0,0,,RPWUMLRKOHOFFHF97CA
中和區,房地(土地+建物),新北市中和區中興街211~240號,6.31,住,,,1080428,土地1建物1車位0,八層,十五層,套房(1房1廳1衛),住家用,見其他登記事項,980318,51.05,1,1,1,有,有,6520000,127718,,0,0,含增建或未登記建物。;,RPXUMLRKOHOFFHF08CA
永和區,房地(土地+建物)+車位,新北市永和區仁愛路306巷18弄1~30號,30.3,住,,,1080407,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980117,242.11,4,2,3,有,有,37300000,154062,坡道平面,30.68,0,含增建或未登記建物。;,RPOVMLRKOHOFFHF27CA
中和區,房地(土地+建物),新北市中和區南山路236巷36弄1~30號,36.16,住,,,1080501,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681214,82.95,3,2,2,有,無,8600000,103677,,0,0,含增建或未登記建物。;,RPVNMLSKOHOFFHF27CA
中和區,房地(土地+建物),新北市中和區自立路2巷1~30號,25.23,住,,,1080503,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700713,91.85,3,2,1,有,無,8200000,89276,,0,0,,RPVQMLKLOHOFFHF86CA
中和區,房地(土地+建物)+車位,新北市中和區新興街6巷1~30號,17.97,住,,,1080522,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840817,158.85,3,2,2,有,有,25800000,162417,坡道機械,0,0,,RPTUMLPLOHOFFHF57CA
永和區,房地(土地+建物),新北市永和區文化路90巷42弄1~30號,20,住,,,1080510,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741127,89.41,3,2,2,有,無,8800000,98423,,0,0,含增建或未登記建物。;,RPPNMLOKOHOFFHF88CA
